,horas,cantidad_NA,cantidad_Monday,cantidad_Tuesday,cantidad_Wednesday,cantidad_Thursday,cantidad_Friday,cantidad_Saturday,cantidad_Sunday,duracion_NA,duracion_Monday,duracion_Tuesday,duracion_Wednesday,duracion_Thursday,duracion_Friday,duracion_Saturday,duracion_Sunday,edad_NA,edad_Monday,edad_Tuesday,edad_Wednesday,edad_Thursday,edad_Friday,edad_Saturday,edad_Sunday,maproute_NA,maproute_Monday,maproute_Tuesday,maproute_Wednesday,maproute_Thursday,maproute_Friday,maproute_Saturday,maproute_Sunday,mapdis_NA,mapdis_Monday,mapdis_Tuesday,mapdis_Wednesday,mapdis_Thursday,mapdis_Friday,mapdis_Saturday,mapdis_Sunday,velroute_NA,velroute_Monday,velroute_Tuesday,velroute_Wednesday,velroute_Thursday,velroute_Friday,velroute_Saturday,velroute_Sunday,veldis_NA,veldis_Monday,veldis_Tuesday,veldis_Wednesday,veldis_Thursday,veldis_Friday,veldis_Saturday,veldis_Sunday,tarifa_NA,tarifa_Monday,tarifa_Tuesday,tarifa_Wednesday,tarifa_Thursday,tarifa_Friday,tarifa_Saturday,tarifa_Sunday
0,0,3520.0,276.0,336.0,391.0,448.0,543.0,760.0,766.0,13.18,13.28,14.7,13.29,12.75,13.06,12.39,13.55,29.94,30.08,29.85,30.88,29.55,29.57,29.84,30.05,2376.2,2297.39,2791.91,2659.58,2446.17,2301.92,2175.24,2288.71,1714.0,1657.0,1991.64,1896.38,1742.76,1674.2,1573.6,1670.33,12.0,12.63,12.56,12.47,12.21,11.84,11.62,11.66,8.58,8.94,9.03,8.89,8.7,8.5,8.27,8.39,1.37,2.69,2.56,0.5,1.14,1.98,0.93,0.96
1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.21,0.0,0.0,0.0,0.0,0.0,0.0,18.21,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2698.5,0.0,0.0,0.0,0.0,0.0,0.0,2698.5,1861.5,0.0,0.0,0.0,0.0,0.0,0.0,1861.5,11.06,0.0,0.0,0.0,0.0,0.0,0.0,11.06,7.89,0.0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,3961.0,665.0,683.0,781.0,720.0,670.0,252.0,190.0,8.69,8.55,8.56,8.68,8.43,8.69,8.6,10.81,32.32,32.17,32.52,32.99,32.2,31.97,30.74,33.21,1917.93,1880.29,1886.55,1970.89,1889.13,1898.83,1859.65,2198.48,1397.23,1354.16,1371.47,1449.48,1395.61,1378.77,1350.77,1558.66,14.55,14.67,14.41,14.63,14.81,14.73,14.11,13.34,10.4,10.32,10.32,10.55,10.7,10.46,10.17,9.34,0.16,0.24,0.0,0.11,0.28,0.26,0.0,0.0
6,6,19816.0,3369.0,3803.0,3821.0,3659.0,3130.0,1257.0,777.0,9.94,9.78,9.84,9.97,9.73,9.89,10.26,11.52,32.52,32.59,32.62,32.64,32.67,32.61,31.66,31.53,2127.82,2076.61,2126.1,2157.19,2104.97,2094.28,2163.39,2399.12,1553.02,1520.23,1554.73,1575.7,1529.5,1530.45,1581.89,1730.17,13.61,13.7,13.66,13.58,13.59,13.45,13.57,13.9,9.67,9.75,9.71,9.65,9.6,9.55,9.76,9.88,0.21,0.39,0.16,0.1,0.11,0.23,0.39,0.29
7,7,44895.0,7506.0,8525.0,8431.0,8144.0,7545.0,3058.0,1686.0,10.9,11.21,10.99,10.75,10.87,10.93,10.0,11.46,31.89,32.05,32.02,31.91,31.88,31.94,31.54,30.8,2239.54,2278.15,2274.18,2229.49,2235.94,2251.54,2045.62,2257.99,1643.84,1671.34,1673.95,1638.12,1649.19,1648.24,1479.16,1650.91,13.03,13.03,12.99,12.99,12.98,13.07,13.29,13.11,9.32,9.32,9.32,9.29,9.34,9.32,9.34,9.32,0.23,0.5,0.15,0.09,0.18,0.29,0.25,0.1
8,8,66840.0,10833.0,12257.0,12194.0,11886.0,11100.0,4639.0,3931.0,11.23,11.09,10.98,10.78,10.86,10.73,10.52,17.13,32.01,31.96,32.02,31.88,32.0,31.98,32.05,32.57,2234.35,2238.26,2216.73,2211.75,2221.0,2197.41,2118.22,2630.34,1628.74,1628.99,1608.1,1606.54,1613.01,1597.84,1545.35,1994.47,12.67,12.74,12.71,12.8,12.75,12.84,12.84,10.97,9.06,9.13,9.09,9.13,9.11,9.17,9.17,8.03,0.26,0.38,0.33,0.19,0.11,0.23,0.21,0.62
9,9,46400.0,6312.0,7424.0,7204.0,7135.0,6882.0,5102.0,6341.0,11.48,10.77,10.58,10.35,10.5,10.35,10.35,17.77,31.86,31.8,31.74,31.88,31.67,31.97,32.21,31.83,2065.79,2019.16,2002.29,1963.0,1984.38,1984.63,2003.08,2533.48,1508.58,1462.01,1452.92,1420.74,1435.54,1433.08,1453.62,1928.23,11.93,12.17,12.18,12.22,12.16,12.23,12.34,10.12,8.5,8.64,8.65,8.66,8.65,8.67,8.78,7.45,0.37,0.44,0.34,0.31,0.38,0.25,0.22,0.66
