,horas,cantidad_NA,cantidad_Monday,cantidad_Tuesday,cantidad_Wednesday,cantidad_Thursday,cantidad_Friday,cantidad_Saturday,cantidad_Sunday,duracion_NA,duracion_Monday,duracion_Tuesday,duracion_Wednesday,duracion_Thursday,duracion_Friday,duracion_Saturday,duracion_Sunday,edad_NA,edad_Monday,edad_Tuesday,edad_Wednesday,edad_Thursday,edad_Friday,edad_Saturday,edad_Sunday,maproute_NA,maproute_Monday,maproute_Tuesday,maproute_Wednesday,maproute_Thursday,maproute_Friday,maproute_Saturday,maproute_Sunday,mapdis_NA,mapdis_Monday,mapdis_Tuesday,mapdis_Wednesday,mapdis_Thursday,mapdis_Friday,mapdis_Saturday,mapdis_Sunday,velroute_NA,velroute_Monday,velroute_Tuesday,velroute_Wednesday,velroute_Thursday,velroute_Friday,velroute_Saturday,velroute_Sunday,veldis_NA,veldis_Monday,veldis_Tuesday,veldis_Wednesday,veldis_Thursday,veldis_Friday,veldis_Saturday,veldis_Sunday,tarifa_NA,tarifa_Monday,tarifa_Tuesday,tarifa_Wednesday,tarifa_Thursday,tarifa_Friday,tarifa_Saturday,tarifa_Sunday
0,0,15588.0,1358.0,1284.0,1783.0,2026.0,2552.0,3265.0,3320.0,12.92,13.23,12.49,12.61,12.65,13.16,12.64,13.37,33.56,34.31,34.69,33.99,33.87,33.5,33.06,32.92,2517.09,2361.82,2560.47,2604.48,2588.04,2539.09,2500.44,2473.05,1874.9,1762.62,1914.59,1945.86,1936.54,1888.85,1851.89,1841.67,13.1,12.6,13.81,13.48,13.27,13.27,12.98,12.72,9.49,9.16,9.93,9.79,9.67,9.6,9.38,9.22,1.1,1.66,1.05,1.04,0.9,1.7,0.93,0.74
1,1,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.49,0.0,0.0,0.0,7.05,0.0,6.21,0.0,27.67,0.0,0.0,0.0,28.0,0.0,27.5,0.0,1552.67,0.0,0.0,0.0,2218.0,0.0,1220.0,0.0,1069.0,0.0,0.0,0.0,1667.0,0.0,770.0,0.0,14.07,0.0,0.0,0.0,18.88,0.0,11.66,0.0,9.64,0.0,0.0,0.0,14.19,0.0,7.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,18281.0,2903.0,3334.0,3199.0,3202.0,2822.0,1601.0,1220.0,8.93,9.31,8.62,8.59,8.61,8.71,9.43,10.46,35.46,35.69,36.04,35.33,35.7,35.8,33.79,34.41,2122.71,2157.5,2071.81,2094.22,2077.19,2096.65,2142.27,2407.81,1580.58,1611.58,1538.69,1564.15,1546.19,1558.22,1579.98,1807.13,15.24,15.4,15.22,15.45,15.48,15.24,14.77,14.33,11.07,11.2,11.04,11.24,11.2,11.02,10.72,10.65,0.21,0.64,0.06,0.1,0.16,0.07,0.49,0.02
6,6,61867.0,10256.0,11372.0,11378.0,11033.0,9723.0,4848.0,3257.0,9.6,9.68,9.43,9.52,9.41,9.45,10.08,10.71,35.23,35.02,35.03,35.15,35.29,35.42,35.29,35.99,2282.35,2278.03,2253.99,2281.71,2243.35,2250.3,2360.77,2508.26,1680.32,1672.23,1655.6,1679.61,1649.03,1655.73,1746.07,1876.19,15.1,15.19,15.09,15.18,15.11,15.12,14.8,14.9,10.79,10.82,10.77,10.84,10.8,10.76,10.67,10.85,0.15,0.31,0.09,0.11,0.17,0.12,0.1,0.02
7,7,118800.0,19656.0,22290.0,22189.0,21464.0,19956.0,8393.0,4852.0,10.42,10.53,10.38,10.39,10.36,10.41,10.01,11.4,35.64,35.82,35.62,35.58,35.52,35.73,35.26,36.02,2298.09,2322.41,2319.48,2302.45,2311.2,2282.18,2170.45,2309.54,1696.12,1714.86,1715.15,1699.96,1704.28,1680.39,1603.43,1704.05,14.05,14.03,14.11,14.02,14.15,13.99,13.98,13.99,10.11,10.11,10.16,10.1,10.16,10.04,10.12,10.08,0.17,0.24,0.1,0.13,0.14,0.17,0.26,0.41
8,8,170105.0,27337.0,31288.0,30697.0,30058.0,28812.0,13317.0,8596.0,10.99,10.85,10.81,10.76,10.82,10.8,10.53,14.79,35.46,35.43,35.31,35.51,35.44,35.6,35.32,35.76,2363.74,2381.17,2365.53,2367.85,2381.59,2348.82,2212.81,2508.55,1749.25,1764.58,1749.25,1748.56,1759.36,1736.59,1639.21,1880.55,13.76,13.93,13.82,13.85,13.9,13.76,13.7,12.21,9.96,10.1,10.01,10.0,10.05,9.96,9.94,8.92,0.23,0.26,0.2,0.14,0.22,0.22,0.37,0.45
9,9,124222.0,18188.0,20309.0,19717.0,19926.0,19416.0,13216.0,13450.0,10.95,10.59,10.33,10.36,10.25,10.32,10.43,15.67,36.09,36.33,36.25,36.21,36.12,36.21,35.98,35.21,2135.95,2115.45,2104.11,2089.99,2090.43,2081.24,2064.65,2495.63,1569.04,1549.5,1537.49,1529.42,1529.67,1522.05,1513.82,1881.59,13.01,13.2,13.27,13.17,13.29,13.18,12.98,11.52,9.32,9.45,9.46,9.42,9.49,9.4,9.29,8.42,0.32,0.38,0.26,0.29,0.28,0.3,0.32,0.48
10,10,105397.0,14086.0,15221.0,15015.0,15090.0,15373.0,13753.0,16859.0,11.54,10.76,10.59,10.72,10.67,10.8,10.63,15.97,36.61,37.3,37.08,37.27,36.79,36.9,36.29,34.84,2078.77,1997.13,2004.49,2002.85,2027.92,2014.22,1968.36,2476.09,1524.9,1452.9,1461.76,1454.3,1480.6,1467.13,1439.17,1867.21,12.27,12.5,12.59,12.42,12.61,12.41,12.43,11.11,8.78,8.86,8.99,8.84,9.01,8.84,8.88,8.12,0.42,0.44,0.39,0.36,0.42,0.4,0.45,0.49
11,11,105826.0,13789.0,14894.0,14422.0,14536.0,14447.0,14749.0,18989.0,11.91,10.93,10.78,10.82,10.86,10.84,11.16,16.56,36.56,37.06,36.93,37.02,37.24,36.9,36.11,35.12,2054.72,1973.69,1969.84,1967.1,1980.41,1976.44,1938.35,2453.52,1510.95,1442.98,1440.35,1435.75,1443.24,1446.65,1417.86,1845.86,11.89,12.2,12.21,12.16,12.24,12.11,11.91,10.76,8.52,8.7,8.75,8.66,8.71,8.66,8.5,7.87,0.52,0.48,0.5,0.41,0.45,0.35,0.65,0.72
