,horas,cantidad_NA,cantidad_Monday,cantidad_Tuesday,cantidad_Wednesday,cantidad_Thursday,cantidad_Friday,cantidad_Saturday,cantidad_Sunday,duracion_NA,duracion_Monday,duracion_Tuesday,duracion_Wednesday,duracion_Thursday,duracion_Friday,duracion_Saturday,duracion_Sunday,edad_NA,edad_Monday,edad_Tuesday,edad_Wednesday,edad_Thursday,edad_Friday,edad_Saturday,edad_Sunday,maproute_NA,maproute_Monday,maproute_Tuesday,maproute_Wednesday,maproute_Thursday,maproute_Friday,maproute_Saturday,maproute_Sunday,mapdis_NA,mapdis_Monday,mapdis_Tuesday,mapdis_Wednesday,mapdis_Thursday,mapdis_Friday,mapdis_Saturday,mapdis_Sunday,velroute_NA,velroute_Monday,velroute_Tuesday,velroute_Wednesday,velroute_Thursday,velroute_Friday,velroute_Saturday,velroute_Sunday,veldis_NA,veldis_Monday,veldis_Tuesday,veldis_Wednesday,veldis_Thursday,veldis_Friday,veldis_Saturday,veldis_Sunday,tarifa_NA,tarifa_Monday,tarifa_Tuesday,tarifa_Wednesday,tarifa_Thursday,tarifa_Friday,tarifa_Saturday,tarifa_Sunday
0,0,19108.0,1634.0,1620.0,2174.0,2474.0,3095.0,4025.0,4086.0,12.97,13.24,12.95,12.73,12.67,13.15,12.59,13.41,32.89,33.59,33.69,33.43,33.08,32.81,32.45,32.38,2491.14,2350.93,2608.47,2614.39,2562.35,2497.48,2439.04,2438.49,1845.26,1744.78,1930.57,1936.96,1901.45,1851.19,1799.35,1809.55,12.9,12.6,13.55,13.3,13.08,13.02,12.72,12.52,9.32,9.12,9.74,9.63,9.5,9.41,9.17,9.06,1.15,1.83,1.36,0.94,0.95,1.75,0.93,0.78
1,1,5.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,11.18,0.0,0.0,0.0,7.05,0.0,6.21,18.21,30.6,0.0,0.0,0.0,28.0,0.0,27.5,35.0,2011.0,0.0,0.0,0.0,2218.0,0.0,1220.0,2698.5,1386.0,0.0,0.0,0.0,1667.0,0.0,770.0,1861.5,12.86,0.0,0.0,0.0,18.88,0.0,11.66,11.06,8.94,0.0,0.0,0.0,14.19,0.0,7.36,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,22242.0,3568.0,4017.0,3980.0,3922.0,3492.0,1853.0,1410.0,8.89,9.17,8.61,8.61,8.58,8.7,9.31,10.51,34.9,35.03,35.44,34.87,35.06,35.07,33.38,34.24,2086.24,2105.83,2040.31,2070.02,2042.67,2058.7,2103.84,2379.6,1547.93,1563.6,1510.26,1541.65,1518.54,1523.79,1548.8,1773.65,15.12,15.26,15.08,15.29,15.36,15.14,14.68,14.2,10.95,11.04,10.92,11.11,11.11,10.92,10.65,10.47,0.2,0.56,0.05,0.1,0.18,0.11,0.42,0.02
6,6,81683.0,13625.0,15175.0,15199.0,14692.0,12853.0,6105.0,4034.0,9.68,9.7,9.53,9.63,9.49,9.56,10.12,10.86,34.57,34.42,34.43,34.52,34.64,34.74,34.55,35.13,2244.86,2228.23,2221.94,2250.41,2208.89,2212.31,2320.13,2487.24,1649.44,1634.65,1630.32,1653.48,1619.26,1625.22,1712.27,1848.07,14.74,14.82,14.73,14.78,14.73,14.72,14.54,14.71,10.52,10.55,10.51,10.54,10.5,10.47,10.48,10.66,0.16,0.33,0.11,0.11,0.15,0.15,0.16,0.07
7,7,163695.0,27162.0,30815.0,30620.0,29608.0,27501.0,11451.0,6538.0,10.55,10.72,10.55,10.49,10.5,10.55,10.01,11.41,34.61,34.78,34.62,34.57,34.52,34.69,34.27,34.67,2282.03,2310.18,2306.95,2282.36,2290.5,2273.77,2137.11,2296.25,1681.78,1702.83,1703.76,1682.93,1689.13,1671.57,1570.24,1690.35,13.77,13.75,13.8,13.74,13.83,13.74,13.8,13.76,9.9,9.89,9.93,9.87,9.93,9.84,9.91,9.89,0.19,0.31,0.11,0.12,0.15,0.2,0.26,0.33
8,8,236945.0,38170.0,43545.0,42891.0,41944.0,39912.0,17956.0,12527.0,11.06,10.92,10.86,10.77,10.83,10.78,10.53,15.53,34.49,34.45,34.38,34.48,34.47,34.59,34.47,34.76,2327.24,2340.61,2323.65,2323.47,2336.08,2306.71,2188.37,2546.77,1715.26,1726.1,1709.52,1708.18,1717.89,1698.0,1614.96,1916.3,13.45,13.59,13.51,13.55,13.58,13.5,13.48,11.82,9.71,9.83,9.75,9.75,9.79,9.74,9.74,8.64,0.24,0.3,0.23,0.15,0.18,0.22,0.33,0.51
9,9,170622.0,24500.0,27733.0,26921.0,27061.0,26298.0,18318.0,19791.0,11.09,10.64,10.39,10.36,10.32,10.33,10.41,16.34,34.94,35.16,35.04,35.05,34.95,35.1,34.93,34.13,2116.87,2090.64,2076.85,2056.01,2062.46,2055.96,2047.5,2507.76,1552.59,1526.96,1514.85,1500.33,1504.85,1498.76,1497.05,1896.53,12.72,12.94,12.98,12.91,12.99,12.93,12.8,11.07,9.1,9.24,9.24,9.21,9.27,9.21,9.15,8.11,0.34,0.39,0.28,0.3,0.3,0.28,0.3,0.54
10,10,143029.0,18601.0,20357.0,19939.0,20232.0,20316.0,18877.0,24707.0,11.75,10.86,10.6,10.65,10.62,10.87,10.76,16.68,35.45,36.07,35.78,36.08,35.67,35.8,35.24,33.89,2068.91,1997.37,1985.38,1978.81,1996.67,1993.99,1964.13,2465.1,1519.66,1453.53,1449.86,1437.17,1458.18,1454.09,1436.07,1861.66,12.03,12.32,12.38,12.28,12.42,12.26,12.22,10.68,8.62,8.75,8.85,8.74,8.88,8.75,8.74,7.82,0.46,0.45,0.38,0.34,0.4,0.49,0.49,0.64
11,11,142255.0,18227.0,19644.0,19040.0,19198.0,19150.0,19829.0,27167.0,12.13,11.1,10.9,10.85,10.89,10.87,11.16,17.1,35.41,35.91,35.81,35.85,36.03,35.71,35.12,34.06,2050.82,1972.36,1965.05,1952.01,1973.67,1963.09,1924.36,2443.38,1509.62,1443.16,1437.21,1426.16,1438.0,1436.33,1406.23,1842.8,11.66,12.0,12.01,12.0,12.08,11.96,11.73,10.38,8.37,8.58,8.62,8.57,8.6,8.56,8.37,7.6,0.54,0.53,0.53,0.42,0.42,0.39,0.62,0.77
