,dias,cantidad_NA,cantidad_January,cantidad_February,cantidad_March,cantidad_April,cantidad_May,cantidad_June,cantidad_July,cantidad_August,duracion_NA,duracion_January,duracion_February,duracion_March,duracion_April,duracion_May,duracion_June,duracion_July,duracion_August,edad_NA,edad_January,edad_February,edad_March,edad_April,edad_May,edad_June,edad_July,edad_August,maproute_NA,maproute_January,maproute_February,maproute_March,maproute_April,maproute_May,maproute_June,maproute_July,maproute_August,mapdis_NA,mapdis_January,mapdis_February,mapdis_March,mapdis_April,mapdis_May,mapdis_June,mapdis_July,mapdis_August,velroute_NA,velroute_January,velroute_February,velroute_March,velroute_April,velroute_May,velroute_June,velroute_July,velroute_August,veldis_NA,veldis_January,veldis_February,veldis_March,veldis_April,veldis_May,veldis_June,veldis_July,veldis_August,tarifa_NA,tarifa_January,tarifa_February,tarifa_March,tarifa_April,tarifa_May,tarifa_June,tarifa_July,tarifa_August
0,1,22834,698,3899,3795,3180,2007,2421,3508,3326,11.52,11.47,11.48,11.54,12.07,11.39,11.45,11.32,11.4,31.86,32.17,32.15,32.02,31.78,31.29,31.9,31.73,31.78,2122.52,2114.7,2200.02,2154.16,2182.34,1998.48,2003.13,2109.71,2115.29,1566.01,1555.95,1626.99,1590.43,1618.13,1463.51,1469.21,1559.56,1558.09,11.9,12.01,12.11,12.08,12.09,11.59,11.48,11.88,11.76,8.6,8.69,8.78,8.74,8.77,8.28,8.23,8.6,8.49,0.44,0.24,0.22,0.4,0.9,0.6,0.51,0.38,0.27
1,2,24857,2380,3697,2579,3378,4062,2286,3143,3332,11.72,11.63,11.62,11.46,11.77,11.26,13.02,11.88,11.55,31.9,32.68,31.97,32.04,32.02,31.63,31.66,31.54,31.84,2125.14,2170.02,2157.14,2018.33,2179.07,2146.85,2110.93,2083.41,2108.21,1568.36,1602.06,1598.16,1481.87,1616.31,1580.52,1562.78,1534.23,1550.73,11.78,12.08,11.96,11.57,11.92,12.11,11.14,11.44,11.75,8.51,8.72,8.68,8.32,8.67,8.74,7.97,8.24,8.47,0.43,0.44,0.51,0.4,0.54,0.25,0.24,0.67,0.41
2,3,24344,2930,2259,2284,3336,3878,3592,3726,2339,11.73,11.68,11.61,14.4,11.32,11.14,11.37,11.59,11.61,31.86,32.86,31.86,31.61,31.83,31.83,31.76,31.43,31.74,2127.37,2173.52,2028.81,2229.12,2165.06,2088.42,2147.48,2122.97,2052.33,1572.42,1619.75,1489.65,1658.51,1605.68,1540.18,1584.89,1571.23,1497.82,11.76,11.89,11.49,10.79,12.14,11.96,11.99,11.82,11.46,8.52,8.7,8.29,7.81,8.8,8.65,8.68,8.58,8.23,0.38,0.41,0.48,0.38,0.29,0.35,0.25,0.45,0.54
3,4,25428,3015,2171,4031,3537,2619,3874,3806,2375,12.17,11.63,15.61,11.51,11.82,11.29,11.41,11.49,14.71,31.85,32.81,31.18,32.06,32.17,31.37,31.79,31.81,31.09,2169.51,2163.68,2276.26,2197.74,2198.66,2039.99,2152.91,2128.6,2223.44,1605.97,1606.04,1707.87,1622.1,1625.91,1492.68,1591.93,1569.85,1661.34,11.71,11.9,10.37,12.26,12.1,11.59,12.03,11.85,10.53,8.48,8.68,7.57,8.85,8.79,8.32,8.73,8.57,7.65,0.47,0.45,0.67,0.39,0.7,0.35,0.36,0.36,0.58
4,5,24886,2860,2011,4189,3188,2131,3935,3613,2959,11.93,11.87,13.27,11.56,11.98,14.49,11.36,11.38,11.1,31.76,32.58,31.54,31.95,31.86,30.91,31.89,31.54,31.49,2172.33,2161.81,2184.34,2225.79,2156.77,2269.34,2173.41,2106.98,2123.88,1606.07,1603.15,1616.45,1640.15,1593.09,1699.84,1607.05,1549.8,1567.42,11.86,11.8,11.09,12.22,12.0,11.02,12.11,11.82,12.11,8.59,8.57,8.01,8.82,8.7,7.99,8.77,8.53,8.78,0.46,0.66,1.09,0.25,0.72,0.47,0.29,0.4,0.18
5,6,26616,2060,3916,4275,2228,3961,4019,2433,3724,11.49,11.51,11.54,11.36,11.17,11.45,11.63,11.34,11.78,31.85,32.68,31.88,31.98,32.09,31.7,31.93,31.29,31.47,2133.1,2056.33,2187.17,2183.93,2026.14,2187.02,2150.86,1987.0,2143.27,1575.37,1519.01,1623.86,1618.84,1481.97,1617.34,1589.38,1448.78,1584.49,11.95,11.64,12.07,12.26,11.67,12.14,11.94,11.6,11.84,8.65,8.43,8.78,8.87,8.38,8.82,8.66,8.29,8.57,0.43,0.45,0.36,0.29,0.29,0.38,0.54,0.45,0.65
6,7,26043,1958,4042,4066,2360,4160,3442,2408,3607,12.35,15.59,11.52,11.6,14.82,11.3,11.36,14.85,11.22,31.68,31.93,31.86,31.87,30.89,31.63,31.69,31.34,31.95,2191.22,2303.69,2192.03,2171.11,2237.55,2173.3,2132.56,2283.1,2136.92,1622.25,1725.42,1629.93,1603.45,1666.55,1596.93,1570.52,1694.85,1579.95,11.72,10.64,12.08,12.13,10.59,12.17,12.02,10.76,12.04,8.48,7.76,8.79,8.78,7.66,8.76,8.69,7.73,8.73,0.39,0.82,0.27,0.56,0.35,0.22,0.46,0.38,0.29
7,8,28386,3248,4039,3927,3776,4078,2397,3388,3533,11.57,11.5,11.74,12.13,11.65,11.17,11.5,11.24,11.54,31.81,33.03,31.64,32.19,31.45,31.63,31.36,31.86,31.33,2165.26,2205.17,2179.01,2200.07,2233.96,2137.59,2043.64,2105.88,2172.15,1598.93,1637.92,1614.09,1625.68,1654.83,1571.4,1485.87,1552.44,1609.32,12.0,12.18,11.99,11.74,12.29,12.11,11.63,12.02,11.95,8.68,8.87,8.71,8.51,8.91,8.74,8.26,8.65,8.66,0.42,0.39,0.54,0.65,0.42,0.24,0.52,0.31,0.3
8,9,27165,3470,3899,2431,4064,4069,2290,3651,3291,11.81,12.01,11.78,11.35,11.44,11.3,14.83,11.14,11.72,31.84,32.85,32.1,31.99,31.91,31.52,30.99,31.67,31.46,2164.94,2241.79,2186.14,2046.66,2207.47,2124.47,2262.11,2122.21,2123.49,1599.91,1657.24,1618.0,1499.73,1631.25,1569.81,1680.88,1563.13,1575.04,11.82,12.04,11.94,11.6,12.16,11.93,10.71,12.01,11.62,8.56,8.73,8.64,8.37,8.82,8.66,7.7,8.67,8.46,0.38,0.59,0.38,0.42,0.29,0.28,0.45,0.17,0.55
9,10,25512,3529,2705,2346,4215,3117,3543,3701,2356,11.89,12.06,11.96,15.11,11.38,10.97,11.37,11.49,11.9,31.58,32.18,32.07,30.85,31.63,31.32,31.4,31.5,31.51,2147.39,2217.57,2091.81,2275.69,2169.18,2060.82,2177.96,2131.03,2033.56,1585.73,1644.03,1540.15,1710.53,1603.03,1513.0,1604.53,1576.47,1478.04,11.81,11.97,11.64,10.52,12.12,12.01,12.22,11.86,11.56,8.54,8.72,8.42,7.71,8.76,8.66,8.8,8.59,8.25,0.49,0.64,0.9,0.51,0.32,0.31,0.26,0.34,0.89
