,dias,cantidad_NA,cantidad_January,cantidad_February,cantidad_March,cantidad_April,cantidad_May,cantidad_June,cantidad_July,cantidad_August,duracion_NA,duracion_January,duracion_February,duracion_March,duracion_April,duracion_May,duracion_June,duracion_July,duracion_August,edad_NA,edad_January,edad_February,edad_March,edad_April,edad_May,edad_June,edad_July,edad_August,maproute_NA,maproute_January,maproute_February,maproute_March,maproute_April,maproute_May,maproute_June,maproute_July,maproute_August,mapdis_NA,mapdis_January,mapdis_February,mapdis_March,mapdis_April,mapdis_May,mapdis_June,mapdis_July,mapdis_August,velroute_NA,velroute_January,velroute_February,velroute_March,velroute_April,velroute_May,velroute_June,velroute_July,velroute_August,veldis_NA,veldis_January,veldis_February,veldis_March,veldis_April,veldis_May,veldis_June,veldis_July,veldis_August,tarifa_NA,tarifa_January,tarifa_February,tarifa_March,tarifa_April,tarifa_May,tarifa_June,tarifa_July,tarifa_August
0,1,65093,2542,11075,10887,8948,5977,6640,9590,9434,11.09,11.36,11.24,10.97,11.06,10.75,11.2,11.07,11.13,35.35,36.53,35.41,35.5,35.42,34.79,34.62,35.71,35.22,2176.36,2086.54,2267.72,2211.63,2211.77,2055.11,2106.06,2162.8,2159.09,1607.75,1532.7,1681.06,1628.68,1638.92,1510.23,1553.34,1599.45,1596.72,12.77,12.32,13.04,13.01,12.96,12.66,12.41,12.59,12.59,9.22,8.83,9.46,9.37,9.39,9.11,8.94,9.09,9.08,0.38,0.55,0.45,0.22,0.44,0.43,0.57,0.26,0.33
1,2,69614,7365,10664,7364,9321,10932,5908,8669,9391,11.18,11.14,11.1,11.06,11.24,10.9,11.99,11.28,11.08,35.33,36.27,35.54,35.13,34.9,35.29,34.44,35.33,35.54,2169.08,2187.2,2208.03,2101.03,2237.89,2188.43,2175.76,2115.45,2118.52,1603.74,1616.61,1630.53,1546.74,1660.1,1620.38,1615.24,1558.99,1566.67,12.7,12.85,12.91,12.6,12.98,12.98,12.29,12.23,12.5,9.17,9.3,9.33,9.08,9.41,9.37,8.84,8.79,9.03,0.37,0.37,0.34,0.45,0.52,0.34,0.11,0.38,0.39
2,3,68265,8492,7163,6287,9286,10866,9767,9618,6786,11.28,11.21,11.18,13.15,11.06,10.93,10.87,11.26,11.18,35.4,36.05,34.82,35.15,35.49,35.25,35.39,35.54,35.36,2183.6,2200.29,2108.22,2303.31,2233.93,2178.26,2179.83,2191.56,2065.17,1615.96,1628.29,1547.33,1716.75,1659.24,1613.25,1614.44,1617.97,1524.08,12.65,12.78,12.5,12.05,12.94,12.84,12.96,12.63,12.1,9.15,9.26,8.98,8.78,9.41,9.27,9.38,9.11,8.71,0.33,0.44,0.43,0.25,0.29,0.25,0.29,0.38,0.34
3,4,68572,9000,5809,11061,9208,7078,10268,10122,6026,11.41,11.22,13.65,10.84,11.07,10.67,10.8,11.04,13.59,35.23,36.03,35.06,35.21,35.08,34.78,35.39,35.31,34.53,2208.29,2237.42,2303.36,2231.16,2242.18,2068.25,2184.55,2165.84,2255.66,1634.26,1657.79,1710.12,1651.55,1660.02,1516.11,1620.62,1601.93,1671.25,12.75,12.9,11.87,13.28,13.01,12.65,13.04,12.71,11.67,9.2,9.35,8.56,9.6,9.41,9.05,9.41,9.19,8.38,0.31,0.38,0.26,0.25,0.32,0.33,0.26,0.33,0.35
4,5,69778,8754,5675,11574,8900,6031,10486,9884,8474,11.27,11.22,12.02,10.84,11.24,13.05,10.86,11.07,10.93,35.38,36.12,34.86,35.2,35.57,34.29,35.41,35.41,35.73,2200.39,2205.91,2192.42,2235.95,2216.74,2270.64,2187.46,2162.18,2144.86,1629.22,1636.19,1628.49,1650.67,1640.19,1690.53,1623.21,1596.2,1583.99,12.78,12.78,12.33,13.24,12.84,12.09,12.93,12.61,12.9,9.24,9.25,8.91,9.56,9.28,8.74,9.38,9.09,9.31,0.4,0.42,0.89,0.24,0.52,0.37,0.22,0.31,0.53
5,6,73575,6484,10919,11227,6734,10785,10222,6758,10446,11.06,11.12,11.26,10.93,11.05,11.03,10.91,11.19,11.03,35.22,35.46,35.34,34.95,35.27,35.16,35.3,35.04,35.33,2178.63,2094.97,2226.93,2254.54,2124.42,2223.72,2195.75,2055.05,2150.07,1610.45,1542.43,1645.41,1671.18,1564.64,1648.2,1627.37,1506.48,1592.17,12.87,12.53,13.0,13.24,12.61,13.08,13.01,12.31,12.69,9.29,9.02,9.4,9.6,9.07,9.47,9.41,8.8,9.18,0.41,0.6,0.56,0.24,0.43,0.39,0.29,0.55,0.32
6,7,70663,5456,11135,11084,6003,11069,9829,5910,10177,11.6,13.93,11.03,10.89,13.64,10.82,10.99,13.18,11.03,35.17,35.02,35.74,35.02,34.53,35.09,35.19,34.9,35.37,2225.71,2310.17,2231.1,2239.51,2312.32,2217.03,2170.53,2233.78,2166.49,1648.79,1719.02,1648.08,1655.53,1725.79,1641.14,1603.7,1664.41,1602.0,12.7,11.83,13.06,13.17,11.87,13.1,12.79,11.83,12.71,9.18,8.56,9.43,9.53,8.6,9.46,9.24,8.55,9.2,0.32,0.5,0.29,0.29,0.28,0.31,0.36,0.33,0.27
7,8,78106,9731,11099,10424,10356,10680,6686,9172,9958,11.06,11.14,11.07,11.66,11.01,10.8,11.2,10.63,11.0,35.42,35.66,35.47,35.56,35.36,35.21,35.08,35.68,35.3,2210.49,2248.26,2265.76,2272.5,2248.14,2220.13,2076.56,2142.65,2150.01,1635.63,1664.57,1677.43,1682.25,1660.38,1640.55,1539.32,1583.44,1593.67,12.94,13.04,13.16,12.87,13.13,13.14,12.33,12.96,12.68,9.35,9.43,9.52,9.29,9.47,9.47,8.93,9.33,9.17,0.34,0.34,0.32,0.6,0.27,0.23,0.58,0.18,0.3
8,9,74930,10037,10873,7330,10861,10760,5830,9816,9423,11.17,11.24,11.08,10.99,10.95,10.93,12.88,10.85,11.19,35.32,35.72,35.42,35.1,35.1,35.07,34.49,35.68,35.64,2193.48,2241.57,2214.61,2110.89,2236.65,2214.21,2253.88,2137.73,2129.42,1621.71,1659.58,1639.42,1558.71,1649.7,1638.86,1673.82,1579.94,1569.35,12.78,12.97,12.89,12.61,13.11,13.07,12.08,12.75,12.33,9.23,9.38,9.32,9.11,9.45,9.46,8.72,9.21,8.88,0.31,0.4,0.31,0.35,0.28,0.33,0.22,0.31,0.27
9,10,70126,9999,7426,6304,11268,9359,8996,9767,7007,11.28,11.39,11.1,13.38,10.87,10.87,10.94,11.19,11.14,35.28,35.85,34.98,34.71,35.22,35.19,35.23,35.62,35.11,2194.4,2272.41,2130.43,2304.72,2214.79,2181.52,2177.21,2190.02,2064.21,1622.77,1681.35,1565.72,1717.25,1637.48,1612.55,1614.15,1622.45,1516.15,12.78,12.97,12.6,12.08,13.1,12.98,13.08,12.72,12.27,9.23,9.37,9.05,8.75,9.45,9.37,9.46,9.21,8.8,0.4,0.45,0.49,0.31,0.28,0.37,0.46,0.4,0.51
