,dias,cantidad_NA,cantidad_January,cantidad_February,cantidad_March,cantidad_April,cantidad_May,cantidad_June,cantidad_July,cantidad_August,duracion_NA,duracion_January,duracion_February,duracion_March,duracion_April,duracion_May,duracion_June,duracion_July,duracion_August,edad_NA,edad_January,edad_February,edad_March,edad_April,edad_May,edad_June,edad_July,edad_August,maproute_NA,maproute_January,maproute_February,maproute_March,maproute_April,maproute_May,maproute_June,maproute_July,maproute_August,mapdis_NA,mapdis_January,mapdis_February,mapdis_March,mapdis_April,mapdis_May,mapdis_June,mapdis_July,mapdis_August,velroute_NA,velroute_January,velroute_February,velroute_March,velroute_April,velroute_May,velroute_June,velroute_July,velroute_August,veldis_NA,veldis_January,veldis_February,veldis_March,veldis_April,veldis_May,veldis_June,veldis_July,veldis_August,tarifa_NA,tarifa_January,tarifa_February,tarifa_March,tarifa_April,tarifa_May,tarifa_June,tarifa_July,tarifa_August
0,1,87927,3240,14974,14682,12128,7984,9061,13098,12760,11.2,11.39,11.3,11.12,11.33,10.91,11.27,11.14,11.2,34.44,35.59,34.56,34.6,34.46,33.91,33.89,34.64,34.32,2162.38,2092.61,2250.1,2196.77,2204.05,2040.88,2078.55,2148.58,2147.68,1596.91,1537.71,1666.98,1618.79,1633.47,1498.48,1530.86,1588.77,1586.65,12.54,12.25,12.8,12.77,12.73,12.4,12.16,12.4,12.37,9.06,8.8,9.28,9.21,9.22,8.9,8.75,8.96,8.93,0.39,0.49,0.39,0.27,0.56,0.47,0.55,0.29,0.31
1,2,94471,9745,14361,9943,12699,14994,8194,11812,12723,11.32,11.26,11.23,11.16,11.38,11.0,12.27,11.44,11.2,34.43,35.4,34.62,34.33,34.13,34.3,33.67,34.32,34.57,2157.52,2183.0,2194.93,2079.58,2222.24,2177.16,2157.67,2106.92,2115.82,1594.43,1613.05,1622.19,1529.91,1648.45,1609.59,1600.6,1552.4,1562.5,12.46,12.66,12.67,12.34,12.7,12.74,11.97,12.02,12.3,8.99,9.16,9.16,8.88,9.21,9.2,8.6,8.65,8.88,0.39,0.38,0.39,0.44,0.53,0.31,0.15,0.46,0.4
2,3,92609,11422,9422,8571,12622,14744,13359,13344,9125,11.39,11.33,11.28,13.48,11.13,10.98,11.01,11.35,11.29,34.47,35.23,34.11,34.21,34.52,34.35,34.42,34.39,34.43,2168.82,2193.42,2089.18,2283.54,2215.73,2154.63,2171.13,2172.4,2061.88,1604.52,1626.1,1533.5,1701.23,1645.09,1594.03,1606.49,1604.92,1517.35,12.42,12.55,12.26,11.71,12.73,12.61,12.7,12.4,11.93,8.98,9.12,8.81,8.52,9.25,9.11,9.19,8.97,8.59,0.35,0.43,0.44,0.29,0.29,0.28,0.28,0.4,0.39
3,4,94000,12015,7980,15092,12745,9697,14142,13928,8401,11.62,11.33,14.19,11.02,11.28,10.83,10.97,11.16,13.91,34.31,35.22,34.0,34.37,34.27,33.86,34.4,34.35,33.56,2197.8,2218.91,2295.99,2222.24,2230.1,2060.62,2175.88,2155.67,2246.55,1626.61,1644.81,1709.51,1643.69,1650.56,1509.78,1612.76,1593.16,1668.45,12.47,12.65,11.46,13.01,12.76,12.37,12.76,12.47,11.35,9.01,9.18,8.29,9.4,9.23,8.85,9.22,9.02,8.17,0.35,0.4,0.37,0.29,0.42,0.34,0.29,0.34,0.42
4,5,94664,11614,7686,15763,12088,8162,14421,13497,11433,11.44,11.38,12.35,11.03,11.43,13.42,11.0,11.15,10.97,34.43,35.25,33.99,34.33,34.59,33.41,34.45,34.38,34.63,2193.01,2195.05,2190.3,2233.25,2200.93,2270.3,2183.63,2147.4,2139.43,1623.13,1628.05,1625.34,1647.87,1627.77,1692.96,1618.8,1583.78,1579.7,12.54,12.54,12.0,12.97,12.62,11.81,12.7,12.4,12.7,9.07,9.09,8.68,9.37,9.13,8.54,9.21,8.94,9.18,0.42,0.48,0.94,0.24,0.57,0.4,0.24,0.34,0.44
5,6,100191,8544,14835,15502,8962,14746,14241,9191,14170,11.17,11.22,11.33,11.05,11.08,11.14,11.11,11.23,11.23,34.33,34.79,34.43,34.13,34.48,34.23,34.35,34.05,34.31,2166.53,2085.66,2216.44,2235.07,2099.99,2213.86,2183.08,2037.04,2148.28,1601.13,1536.78,1639.72,1656.74,1544.09,1639.91,1616.65,1491.2,1590.15,12.62,12.32,12.76,12.97,12.38,12.83,12.71,12.12,12.47,9.12,8.88,9.23,9.4,8.9,9.3,9.2,8.66,9.02,0.41,0.56,0.51,0.25,0.4,0.39,0.36,0.52,0.41
6,7,96706,7414,15177,15150,8363,15229,13271,8318,13784,11.8,14.37,11.16,11.08,13.98,10.95,11.09,13.66,11.08,34.23,34.21,34.7,34.17,33.5,34.15,34.28,33.87,34.48,2216.42,2308.46,2220.7,2221.15,2291.22,2205.08,2160.68,2248.06,2158.75,1641.65,1720.71,1643.25,1641.55,1709.07,1629.06,1595.09,1673.22,1596.23,12.44,11.51,12.8,12.89,11.51,12.85,12.59,11.52,12.53,8.99,8.35,9.26,9.33,8.33,9.26,9.09,8.31,9.07,0.34,0.59,0.29,0.36,0.3,0.28,0.38,0.35,0.27
7,8,106492,12979,15138,14351,14132,14758,9083,12560,13491,11.2,11.23,11.25,11.79,11.18,10.9,11.28,10.79,11.14,34.46,35.0,34.45,34.64,34.31,34.22,34.1,34.65,34.26,2198.44,2237.48,2242.61,2252.68,2244.35,2197.32,2067.87,2132.73,2155.81,1625.85,1657.9,1660.53,1666.77,1658.9,1621.44,1525.22,1575.08,1597.77,12.69,12.83,12.85,12.56,12.91,12.86,12.14,12.7,12.49,9.17,9.29,9.3,9.08,9.32,9.27,8.75,9.15,9.04,0.36,0.35,0.38,0.61,0.31,0.23,0.56,0.22,0.3
8,9,102095,13507,14772,9761,14925,14829,8120,13467,12714,11.34,11.43,11.27,11.08,11.08,11.03,13.43,10.93,11.33,34.39,34.98,34.54,34.32,34.23,34.09,33.51,34.59,34.56,2185.89,2241.62,2207.1,2094.9,2228.7,2189.58,2256.2,2133.52,2127.88,1615.91,1658.98,1633.77,1544.02,1644.68,1619.91,1675.81,1575.38,1570.82,12.52,12.73,12.64,12.36,12.85,12.76,11.69,12.55,12.14,9.05,9.22,9.14,8.93,9.28,9.24,8.44,9.06,8.78,0.33,0.45,0.33,0.37,0.29,0.32,0.29,0.27,0.34
9,10,95638,13528,10131,8650,15483,12476,12539,13468,9363,11.44,11.56,11.33,13.85,11.01,10.9,11.06,11.27,11.33,34.3,34.9,34.2,33.67,34.25,34.22,34.15,34.49,34.2,2181.86,2258.11,2120.12,2296.85,2202.37,2151.36,2177.42,2173.81,2056.5,1612.89,1671.62,1558.89,1715.42,1628.1,1587.67,1611.43,1609.81,1506.56,12.52,12.71,12.34,11.66,12.84,12.74,12.84,12.48,12.09,9.04,9.2,8.88,8.47,9.27,9.19,9.27,9.04,8.67,0.43,0.5,0.6,0.36,0.29,0.35,0.4,0.38,0.61
