,origen_id,inicio_del_viaje,cantidad_viajes
0,11,2024-01-31,5402
1,11,2024-02-29,5571
2,11,2024-03-31,5605
3,11,2024-04-30,5830
4,11,2024-05-31,5819
5,11,2024-06-30,5263
6,11,2024-07-31,5210
7,11,2024-08-31,5517
8,35,2024-01-31,5586
9,35,2024-02-29,4383
10,35,2024-03-31,5454
11,35,2024-04-30,5650
12,35,2024-05-31,5869
13,35,2024-06-30,5348
14,35,2024-07-31,5360
15,35,2024-08-31,5842
16,38,2024-01-31,2888
17,38,2024-02-29,2974
18,38,2024-03-31,2830
19,38,2024-04-30,3185
20,38,2024-05-31,3388
21,38,2024-06-30,3167
22,38,2024-07-31,3168
23,38,2024-08-31,3393
24,50,2024-01-31,4900
25,50,2024-02-29,4851
26,50,2024-03-31,5009
27,50,2024-04-30,4631
28,50,2024-05-31,4614
29,50,2024-06-30,4535
30,50,2024-07-31,4159
31,50,2024-08-31,4566
32,51,2024-01-31,7785
33,51,2024-02-29,8129
34,51,2024-03-31,7786
35,51,2024-04-30,8481
36,51,2024-05-31,8482
37,51,2024-06-30,7394
38,51,2024-07-31,7212
39,51,2024-08-31,7199
40,52,2024-01-31,4944
41,52,2024-02-29,4801
42,52,2024-03-31,4757
43,52,2024-04-30,5257
44,52,2024-05-31,5213
45,52,2024-06-30,4638
46,52,2024-07-31,4885
47,52,2024-08-31,5142
48,54,2024-01-31,4387
49,54,2024-02-29,3515
50,54,2024-03-31,4450
51,54,2024-04-30,4291
52,54,2024-05-31,4462
53,54,2024-06-30,4029
54,54,2024-07-31,4236
55,54,2024-08-31,4504
56,58,2024-01-31,2990
57,58,2024-02-29,3016
58,58,2024-03-31,2803
59,58,2024-04-30,3207
60,58,2024-05-31,3051
61,58,2024-06-30,2733
62,58,2024-07-31,2841
63,58,2024-08-31,3161
64,260,2024-01-31,2900
65,260,2024-02-29,3036
66,260,2024-03-31,3066
67,260,2024-04-30,2988
68,260,2024-05-31,3341
69,260,2024-06-30,3017
70,260,2024-07-31,2955
71,260,2024-08-31,2890
72,271,2024-01-31,5322
73,271,2024-02-29,5458
74,271,2024-03-31,5604
75,271,2024-04-30,6033
76,271,2024-05-31,6344
77,271,2024-06-30,5524
78,271,2024-07-31,5539
79,271,2024-08-31,6150
